Timestep,NormalizedN,RadiusX,RadiusY,RadiusZ,RadiusZStd,VelocityZ
399,0.9505,10.961,11.093,7.9095,1.2589,-3.386
400,0.9505,10.916,11.078,7.9336,1.2636,-3.3839
401,0.9505,10.872,11.074,7.937,1.2723,-3.3816
402,0.9505,10.851,11.069,7.9219,1.2858,-3.3791
403,0.9505,10.857,11.054,7.9549,1.2984,-3.3764
404,0.9505,10.903,11.05,7.9936,1.3006,-3.3732
405,0.95,10.968,11.063,8.0385,1.2947,-3.3699
406,0.9495,11.052,11.067,8.0896,1.2878,-3.3662
407,0.949,11.135,11.065,8.147,1.2834,-3.3623
408,0.949,11.235,11.058,8.1271,1.2834,-3.3577
409,0.949,11.352,11.046,8.1095,1.281,-3.3526
410,0.949,11.476,11.044,8.1148,1.2788,-3.3468
411,0.949,11.597,11.054,7.9939,1.2821,-3.3402
412,0.948,11.721,11.095,7.973,1.2713,-3.3331
413,0.948,11.834,11.147,7.9509,1.2775,-3.325
414,0.948,11.943,11.205,7.9271,1.2812,-3.316
415,0.9475,12.047,11.269,7.9008,1.2715,-3.3066
416,0.9475,12.132,11.338,7.8715,1.2585,-3.2965
417,0.9475,12.184,11.421,7.9227,1.2408,-3.2859
418,0.9475,12.215,11.534,7.9456,1.2275,-3.2752
419,0.9475,12.229,11.664,7.84,1.2167,-3.2643
420,0.9475,12.227,11.798,7.8818,1.2075,-3.2535
421,0.9475,12.224,11.916,7.9235,1.1982,-3.243
422,0.947,12.225,12.017,7.9655,1.1869,-3.2331
423,0.946,12.241,12.118,8.0082,1.1701,-3.2238
424,0.946,12.279,12.217,8.0522,1.1684,-3.2149
425,0.946,12.341,12.302,8.0782,1.171,-3.2068
426,0.946,12.42,12.363,8.0738,1.1719,-3.1993
427,0.946,12.506,12.397,7.9633,1.1711,-3.1925
428,0.946,12.597,12.414,7.9763,1.1745,-3.1865
429,0.9455,12.682,12.412,7.994,1.1681,-3.1813
430,0.945,12.764,12.392,8.0167,1.1629,-3.1768
431,0.9445,12.845,12.375,8.0449,1.1613,-3.173
432,0.9445,12.906,12.365,8.079,1.1625,-3.1697
433,0.9445,12.958,12.359,8.0601,1.1677,-3.167
434,0.9445,13,12.358,8.0627,1.177,-3.1648
435,0.9445,13.032,12.366,8.0317,1.1895,-3.1629
436,0.9445,13.053,12.364,8.1367,1.1994,-3.1611
437,0.9435,13.074,12.342,8.0765,1.1887,-3.1597
438,0.9435,13.104,12.317,8.0159,1.1984,-3.1577
439,0.942,13.119,12.299,7.9543,1.1784,-3.1554
440,0.942,13.107,12.284,7.8914,1.1805,-3.1519
441,0.9415,13.07,12.25,7.8266,1.1727,-3.1477
